,fitness_avg,fitness_std,fitness_min,fitness_max,fitness_gen,fitness_nevals,size_avg,size_std,size_min,size_max,size_gen,size_nevals,gen,nevals
0,162069.0846337509,284662.1635804991,12440.682095447983,920730.8880378675,0.0,30.0,4.366666666666666,1.7026123718829511,2.0,7.0,0.0,30.0,0,30
1,99075.74160836184,250885.41100226145,12440.682095447983,917620.5022878466,1.0,26.0,5.033333333333333,1.9405039437103846,3.0,9.0,1.0,26.0,1,26
2,40713.15598697543,121647.1670864536,12440.682095447983,689063.966707736,2.0,28.0,5.633333333333334,2.287405128573035,1.0,9.0,2.0,28.0,2,28
3,13699.247495857746,2027.96225652792,12440.682095447983,19310.828128280777,3.0,28.0,5.733333333333333,2.931817790306136,1.0,11.0,3.0,28.0,3,28
4,14523.848172543487,3482.086528827015,12440.682095447983,25485.489341976543,4.0,27.0,5.4,2.893671255228094,1.0,11.0,4.0,27.0,4,27
5,65005.189721272895,276163.96029261546,12440.682095447983,1552159.9280856983,5.0,27.0,5.433333333333334,3.4223124086240606,1.0,13.0,5.0,27.0,5,27
6,14021.664560836396,1955.6411421111932,12440.682095447983,17885.189487394313,6.0,28.0,5.766666666666667,2.9629189811550516,1.0,9.0,6.0,28.0,6,28
7,245084906.40415344,1319748138.513957,12440.682095447983,7352146136.202381,7.0,30.0,5.733333333333333,3.161574853701167,1.0,9.0,7.0,30.0,7,30
8,14634.103650565687,3330.972412249415,12440.682095447983,25322.294505040416,8.0,27.0,6.8,3.026549190084311,1.0,12.0,8.0,27.0,8,27
9,13852.00920708788,1881.7923707871273,12440.682095447983,18876.57137829855,9.0,26.0,6.733333333333333,3.0976693747970514,1.0,12.0,9.0,26.0,9,26
10,13874.584072043448,2206.5073671147193,12440.682095447983,20468.293895681683,10.0,26.0,7.3,3.110734104141122,1.0,12.0,10.0,26.0,10,26
