,fitness_avg,fitness_std,fitness_min,fitness_max,fitness_gen,fitness_nevals,size_avg,size_std,size_min,size_max,size_gen,size_nevals,gen,nevals
0,161513.64650630057,284715.10802651476,10496.672663277635,919932.2607958696,0.0,30.0,4.366666666666666,1.7026123718829511,2.0,7.0,0.0,30.0,0,30
1,17284.640673302707,5677.475641144833,10496.672663277635,33572.641257428644,1.0,30.0,4.5,1.7841898254763513,1.0,8.0,1.0,30.0,1,30
2,13846.453550316126,3110.70256707468,10496.672663277635,22445.344038352363,2.0,27.0,4.933333333333334,2.6948510575210314,1.0,13.0,2.0,27.0,2,27
3,116092.77888699087,554667.5530766646,10496.672663277635,3103034.2130007204,3.0,30.0,5.466666666666667,3.041198594121878,1.0,13.0,3.0,30.0,3,30
4,12601.979374249791,2305.788789918528,10496.672663277635,18908.59272964068,4.0,30.0,5.0,2.065591117977289,1.0,7.0,4.0,30.0,4,30
5,34881.386148713136,121166.54621887606,10496.672663277635,687268.9784203853,5.0,26.0,5.266666666666667,2.768071932270226,1.0,13.0,5.0,26.0,5,26
6,43253.54476924045,166687.9644018387,10496.672663277635,940797.7732632024,6.0,28.0,4.533333333333333,2.1868292622475636,1.0,8.0,6.0,28.0,6,28
7,2407738.234687156,12235687.699531417,10496.672663277635,68241081.70733277,7.0,27.0,5.366666666666666,2.258071940591993,1.0,10.0,7.0,27.0,7,27
8,42531.488145688614,163606.76504690645,10481.185382170275,923487.9383971401,8.0,26.0,5.966666666666667,2.4424486802296492,3.0,13.0,8.0,26.0,8,26
9,12295.61266971032,3006.52797044588,10481.185382170275,25466.207746737637,9.0,27.0,5.366666666666666,2.1522597943143906,3.0,10.0,9.0,27.0,9,27
10,35338.14587677156,119619.84988601465,10496.672663277635,679296.3078739139,10.0,30.0,5.966666666666667,2.5492918406665193,3.0,11.0,10.0,30.0,10,30
