,fitness_avg,fitness_std,fitness_min,fitness_max,fitness_gen,fitness_nevals,size_avg,size_std,size_min,size_max,size_gen,size_nevals,gen,nevals
0,163266.91698771276,283708.30162313656,13034.714381220634,919833.7811990817,0.0,30.0,4.366666666666666,1.7026123718829511,2.0,7.0,0.0,30.0,0,30
1,21141.39121353094,16990.6549481688,13034.714381220634,110281.52905511047,1.0,26.0,4.5,1.6881943016134133,2.0,8.0,1.0,26.0,1,26
2,15653.228111301525,2376.844723327908,13034.714381220634,20126.11783230934,2.0,28.0,4.466666666666667,1.7650936393164969,1.0,8.0,2.0,28.0,2,28
3,14226.335368853035,1324.747284168255,13034.714381220634,19376.38477631986,3.0,26.0,4.266666666666667,1.8245242911205344,3.0,9.0,3.0,26.0,3,26
4,46224.18787825961,155147.43305527623,13034.714381220634,876975.3808534194,4.0,28.0,3.6333333333333333,1.4255603186895398,2.0,7.0,4.0,28.0,4,28
5,37106.817446809415,120505.1131453157,13034.714381220634,685678.6787431851,5.0,28.0,3.566666666666667,1.2565384549980507,3.0,8.0,5.0,28.0,5,28
6,17750.78514523561,16389.668731032238,13034.714381220634,103417.57562003731,6.0,27.0,4.6,2.511307760244982,3.0,11.0,6.0,27.0,6,27
7,67154.47090468707,199353.20571865278,13034.714381220634,922716.6034135291,7.0,28.0,4.733333333333333,2.2939534045447,3.0,11.0,7.0,28.0,7,28
8,14554.711354202473,1776.2840560580933,13034.714381220634,21290.569344195566,8.0,30.0,3.8333333333333335,1.654958878307521,1.0,8.0,8.0,30.0,8,30
9,44450.889945563584,161821.3314765621,13034.714381220634,915771.6446467427,9.0,28.0,3.7666666666666666,1.7065234314893603,1.0,7.0,9.0,28.0,9,28
10,14101.136285374989,1125.8514383704853,13034.714381220634,17132.116535909976,10.0,28.0,3.8666666666666667,1.6069294390925268,3.0,9.0,10.0,28.0,10,28
